Stt|Mã môn học|Tên môn học|Giáo viên nhập|Tên sách|Tác giả|Năm xb|Nơi xb/ Nhà xb|Ghi chú tài liệu|Tình trạng|Nơi lưu trữ|Tên sách đề nghị kiểm tra hoặc thay thế
709|LNGH20302|Bảo tồn đa dạng sinh học|Bài giảng Ða dạng sinh học, PGS. TS Phạm Nhật , Trýờng ÐH Lâm Nghiệp Việt Nam, 2001.|Bài giảng Ða dạng sinh học|PGS. TS Phạm Nhật|2001|Trýờng ÐH Lâm Nghiệp Việt Nam|Tk|Đang bổ sung|Khoa/ BM|
710|LNGH20302|Bảo tồn đa dạng sinh học|Bài giảng: Bảo tồn Ða dạng sinh học và Ðộng vật hoang dã. Trần Mạnh Ðạt, Nguyễn Quang Linh - WWF, USAID 2004.|Bài giảng: Bảo tồn Ða dạng sinh học và Ðộng vật hoang dã| Trần Mạnh Ðạt, Nguyễn Quang Linh|2004| WWF, USAID |Tk|Đang bổ sung|Khoa/ BM|
711|LNGH20302|Bảo tồn đa dạng sinh học|Cẩm nang Quản lý và phát triển Du lịch sinh thái ở các Khu bảo tồn thiên nhiên phía Bắc Việt Nam-2004.|Cẩm nang Quản lý và phát triển Du lịch sinh thái ở các Khu bảo tồn thiên nhiên phía Bắc Việt Nam 2004||2004||Tk|Đổi tài liệu|Không có|
712|LNGH20302|Bảo tồn đa dạng sinh học|Chương trình nâng cao nhận thức Ða dạng sinh học 2001-2010, Bộ KHCN&MT.|Chương trình nâng cao nhận thức Ða dạng sinh học 2001-2010|Bộ KHCN&MT.|||Tk|Đặt mua|Không có|
713|LNGH20302|Bảo tồn đa dạng sinh học|Cơ sở sinh học bảo tồn. Richard B.Primack - NXB Sinauer Associates Inc, Massachusetts, Mỹ và NXB Khoa học và Kỹ thuật, Hà Nội, Việt Nam 1999.|Cơ sở sinh học bảo tồn|Richard B.Primack |1999| NXB Sinauer Associates Inc, Massachusetts, Mỹ và NXB Khoa học và Kỹ thuật, Hà Nội, Việt Nam |Tk|Đổi tài liệu|Không có|
714|LNGH20302|Bảo tồn đa dạng sinh học|Công ước Ða dạng sinh học (toàn vãn và phụ lục).|Công ước Ða dạng sinh học (toàn vãn và phụ lục).||||Tk|internet|internet|
715|LNGH20302|Bảo tồn đa dạng sinh học|Ða dạng sinh học, Bruno Streit (Phan Ba dịch), NXB Tri Thức, 2011|Ða dạng sinh học| Bruno Streit (Phan Ba dịch), |2011|NXB Tri Thức, |Tk|Đặt mua|Không có|
716|LNGH20302|Bảo tồn đa dạng sinh học|Ða dạng sinh học – Võ Vãn Phú (chủ biên) - NXB ÐH Huế|Ða dạng sinh học| Võ Vãn Phú (chủ biên)||NXB ÐH Huế|Tk|Đã có|TTTT-TV|
717|LNGH20302|Bảo tồn đa dạng sinh học|Ða dạng sinh học và Bảo tồn thiên nhiên, Lê Trọng Cúc, NXB ÐHQG Hà Nội, 2002.|Ða dạng sinh học và Bảo tồn thiên nhiên|Lê Trọng Cúc,|2002| NXB ÐHQG Hà Nội|Tk|Đổi tài liệu|Không có|
718|LNGH20302|Bảo tồn đa dạng sinh học|Sổ tay hướng dẫn giám sát, điều tra Đa dạng sinh học, NXB Giao thông vận tải, 2003.|Sổ tay hướng dẫn giám sát, điều tra Đa dạng sinh học||2003| NXB Giao thông vận tải|Tk|Đã có|TTTT-TV|
719|LNGH20302|Bảo tồn đa dạng sinh học|Từ ðiển Ða dạng sinh học và Phát triển bền vững, Bộ KHCN&MT, NXB Khoa học Kỹ thuật, 2001.|Từ điển Đa dạng sinh học và Phát triển bền vững|, Bộ KHCN&MT|2001|NXB Khoa học Kỹ thuật|Tk|Đã có|TTTT-TV|
720|LNGH20802|Công cụ và máy lâm nghiệp|Nguyễn Đăng Niêm (2014). Bài giảng công cụ và máy Lâm nghiệp, Khoa Lâm nghiệp.|Bài giảng công cụ và máy Lâm nghiệp|Nguyễn Đăng Niêm|2014|Khoa Lâm nghiệp.|Bb|Đang bổ sung|Khoa/ BM|
721|LNGH20802|Công cụ và máy lâm nghiệp|Phan Hòa. Đinh Vương Hùng (1990), Giáo trình Cơ khí nông nghiệp, ĐHNN II, Huế, TT TTTV.|Giáo trình Cơ khí nông nghiệp| Phan Hòa. Đinh Vương Hùng|1990|ĐHNN II, Huế|Bb|Đã có|TTTT-TV|
722|LNGH20802|Công cụ và máy lâm nghiệp|Nguyễn Nhật Chiêu và Nguyễn Thanh Quế (1992), Giáo trình Công cụ và máy Lâm nghiệp, NXB NN, Hà nội. Khoa Lâm Nghiệp|Giáo trình Công cụ và máy Lâm nghiệp,| Nguyễn Nhật Chiêu và Nguyễn Thanh Quế|1992|NXB NN, Hà nội. Khoa Lâm Nghiệp|Bb|Đổi tài liệu|Không có|
723|LNGH20802|Công cụ và máy lâm nghiệp|Đào Duy Cầu và Nguyễn Kim Vũ (2006), Giáo trình Cơ khí nông nghiệp và công nghệ sau thu hoạch, ĐHKTQD, Hà nội. TT TTTV.|Giáo trình Cơ khí nông nghiệp và công nghệ sau thu hoạch|Đào Duy Cầu và Nguyễn Kim Vũ|2006|ĐHKTQD, Hà nội|Tk|Đã có|TTTT-TV|
724|LNGH20802|Công cụ và máy lâm nghiệp|Nguyễn Nông, Nguyễn Đại Thành, Hoàng Ngọc Vinh (1999), Sửa chữa ô tô máy kéo, NXB giáo dục, Hà nội. TT TTTV.|Sửa chữa ô tô máy kéo|Nguyễn Nông, Nguyễn Đại Thành, Hoàng Ngọc Vinh|1999|NXB giáo dục, Hà nội|Tk|Đã có|TTTT-TV|
725|LNGH21602|Công trình lâm nghiệp|Bài giảng công trình lâm nghiệp|Bài giảng công trình lâm nghiệp||||Bb|Đang bổ sung|Khoa/ BM|
726|LNGH21602|Công trình lâm nghiệp|Nguyễn Quang- Công trình lâm nghiệp. Trýờng ðại học Lâm nghiệp nãm 1992|Công trình lâm nghiệp|Nguyễn Quang|1992|Trýờng ðại học Lâm nghiệp|Bb|Đã có|TTTT-TV|
727|LNGH21602|Công trình lâm nghiệp|Giáo trình: công trình lâm nghiệp; Thiết kế ðýờng ô tô; Vật liệu xây dựng; Bê tông cốt thép|Giáo trình: công trình lâm nghiệp; Thiết kế ðýờng ô tô; Vật liệu xây dựng; Bê tông cốt thép||||Bb|Ko bàn|ko nêu cụ thể|
728|LNGH21602|Công trình lâm nghiệp|Nguyễn ðình Cống- Sàn bê tông cốt thép toàn khối. Nhà xuất bản khoa học và kỷ thuật. Hà nội nãm 1992.|Sàn bê tông cốt thép toàn khối|Nguyễn ðình Cống|1992| Nhà xuất bản khoa học và kỷ thuật. Hà nội |Bb|Đổi tài liệu|Không có|
729|LNGH21602|Công trình lâm nghiệp|Dýõng học Hải- Thiết kế ðýờng ô tô. Nhà xuất bản khoa học và kỷ thuật. Hà nội nãm 1992|Thiết kế đường ô tô|Dýõng học Hải|1992| Nhà xuất bản khoa học và kỷ thuật. Hà nội|Bb|Đổi tài liệu|Không có|
730|LNGH21602|Công trình lâm nghiệp|Kết cấu nhà công nghiệp; Phong thuỷ trong thiết kế nhà ở, Vật liệu xây dựng trong nông nghiệp|Kết cấu nhà công nghiệp; Phong thuỷ trong thiết kế nhà ở, Vật liệu xây dựng trong nông nghiệp||||Tk|Kiểm tra|kiểm tra|
731|LNGH21602|Công trình lâm nghiệp|Ðặng Hữu- Sổ tay thiết kế ðýờng. Nhà xuất bản khoa học và ký thuật. Hà nội nãm 1976|Sổ tay thiết kế đường.|Ðặng Hữu|1976| Nhà xuất bản khoa học và kỷ thuật. Hà nội |Tk|Đổi tài liệu|Không có|Sổ tay thiết kế đường ô tô / Đặng Hữu (chủ biên), Đỗ Bá Chung, Nguyễn Xuân Trực. - Hà Nội : Khoa học và kỹ thuật, 1994. - 307tr. : 
732|LNGH21702|Ðiều tra rừng|Bài giảng Điều tra rừng|Bài giảng Điều tra rừng||||Bb|Đang bổ sung|Khoa/ BM|
733|LNGH21702|Ðiều tra rừng|Điều tra rừngiáo trình|Điều tra rừng giáo trình||||Bb|Đã có|TTTT-TV|"1. Điều tra rừng : Giáo trình Đại học Lâm nghiệp / Vũ Tiến Minh (chủ biên), Phạm Ngọc Giao. - Hà Nội : Nông nghiệp, 1997
2. Điều tra rừng / Vũ Tiến Hinh. - Hà Nội : Nông nghiệp, 2012. - 204tr. ; 27cm"
734|LNGH21702|Ðiều tra rừng|Sổ tay điều tra quy hoạch rừng|Sổ tay điều tra quy hoạch rừng||||Bb|Đã có|TTTT-TV|
735|LNGH21702|Ðiều tra rừng|Đồng Sỹ Hiền, Lập biểu thể tích và biểu độ thon cây đứng cho rừng Việt nam, nhà xuất bản khoa học và kỹ thuật, Hà Nội - 1974.|Lập biểu thể tích và biểu độ thon cây đứng cho rừng Việt nam|Đồng Sỹ Hiền|1974| Nhà xuất bản khoa học và kỷ thuật. Hà nội |Tk|Đổi tài liệu|Không có|
736|LNGH21702|Ðiều tra rừng|Vũ Tiến Hinh, Sản lượng rừng, nhà xuất bản Nông nghiệp, Hà Nội -2003|Sản lượng rừng| Vũ Tiến Hinh|2003|Nxb Nông nghiệp|Tk|Đã có|TTTT-TV|
737|LNGH21702|Ðiều tra rừng|Nguyễn Hải Tuất, Thống kê toán học trong lâm nghiệpnhà xuất bản Nông nghiệp, Hà Nội -1982|Thống kê toán học trong lâm nghiệp| Nguyễn Hải Tuất|1982|Nxb Nông nghiệp|Tk|Đã có|TTTT-TV|
738|LNGH21702|Ðiều tra rừng|Ngô Kim Khôi - Nguyễn Hải Tuất - Nguyễn Văn Tuấn, Tin học ứng dụng trong Lâm nghiệp nhà xuất bản Nông nghiệp, Hà Nội - 2001|Tin học ứng dụng trong Lâm nghiệp|Ngô Kim Khôi - Nguyễn Hải Tuất - Nguyễn Văn Tuấn|2001|Nxb Nông nghiệp|Tk|Đổi tài liệu|Không có|
739|LNGH21802|Ðộng vật rừng|Bài giảng Động vật rừng, Trần Mạnh Đạt, 2015|Bài giảng Động vật rừng|Trần Mạnh Đạt|2015||Bb|Đang bổ sung|Khoa/ BM|
740|LNGH21802|Ðộng vật rừng|Bài giảng Động vật rừng, Trần Mạnh Đạt, 1988|Bài giảng Động vật rừng|Trần Mạnh Đạt|1988||Tk|Đang bổ sung|Khoa/ BM|
741|LNGH21802|Ðộng vật rừng|Các loài rắn độc ở Việt Nam - Trần Kiên , NXB Khoa học kỹ thuật, 1978|Các loài rắn độc ở Việt Nam|Trần Kiên|1978| NXB Khoa học kỹ thuật|Tk|Đã có|TTTT-TV|TTTT-TV-1995
742|LNGH21802|Ðộng vật rừng|Chim Việt Nam - Nguyễn Cử, Lê Trọng Trải, NXB Lao động xã hội, 2000|Chim Việt Nam|Nguyễn Cử, Lê Trọng Trải, |2000|NXB Lao động xã hội|Tk|Đổi tài liệu|Không có|TTTT-TV-1995
743|LNGH21802|Ðộng vật rừng|Cơ sở sinh thái học, Dương Hữu Thời, 2000|Cơ sở sinh thái học| Dương Hữu Thời|2000||Tk|Đổi tài liệu|Không có|
744|LNGH21802|Ðộng vật rừng|Danh lục các loài thú (Mammalia) Việt Nam, Viện sinh thái và tài nguyên sinh vật, NXB Khoa học và Kỹ thuật, 1994|Danh lục các loài thú (Mammalia) Việt Nam|Viện sinh thái và tài nguyên sinh vật|1994|NXB Khoa học và Kỹ thuật|Tk|Đổi tài liệu|Không có|
745|LNGH21802|Ðộng vật rừng|Danh lục Chim Việt Nam, Võ Quý, Nguyễn Cử, NXB Nông Nghiệp, 1995|Danh lục Chim Việt Nam|Võ Quý, Nguyễn Cử|1995|NXB Nông Nghiệp|Tk|Đã có|TTTT-TV|
746|LNGH21802|Ðộng vật rừng|Động vật rừng, PGS. TS Phạm Nhật , NXB Nông Nghiệp, 1998|Động vật rừng|PGS. TS Phạm Nhật|1998||Tk|Đổi tài liệu|Không có|TTTT-TV-1992
747|LNGH21802|Ðộng vật rừng|Giáo trình Động vật có xương sống (Tập 1, 2, 3)|Giáo trình Động vật có xương sống (Tập 1, 2, 3)||||Tk|Đã có|TTTT-TV|
748|LNGH21802|Ðộng vật rừng|Giáo trình động vật học, Lê Trọng Sơn, 2006|Giáo trình động vật học| Lê Trọng Sơn|2006||Tk|kiểm tra|kiểm tra|Giáo trình động vật học / Đặng Thị Thu Hiền, Lê Trọng Sơn , Phan Thị Duy Thuận. - Huế : Đại học Huế, 2013. - 284tr. : Minh họa ảnh màu ; 21cm
749|LNGH21802|Ðộng vật rừng|Giáo trình Động Vật học – Phần Động vật có xương sống, Ngô Đắc Chứng, NXB Giáo dục, 1997|Giáo trình Động Vật học – Phần Động vật có xương sống|Ngô Đắc Chứng|1997|NXB Giáo dục|Tk|Đổi tài liệu|Không có|
750|LNGH21802|Ðộng vật rừng|Giáo trình Động vật rừng, Đại học Lâm nghiệp, 1992|Giáo trình Động vật rừng|, Đại học Lâm nghiệp|1992||Tk|kiểm tra|kiểm tra|Động vật rừng : Dùng cho sinh viên ngành lâm nghiệp / Phạm Nhật, Đỗ Tước, Lê Mộng Chân. - Hà Nội : Trường Đại học Lâm nghiệp, 1992. - 149tr. : minh họa, hình vẻ ; 27cm
751|LNGH21802|Ðộng vật rừng|Giới thiệu một số loài thú của Đông dương và Thái Lan - Quỹ quốc tế về bảo tồn thiên nhiên, NXB Bản đồ, 2000|Giới thiệu một số loài thú của Đông dương và Thái Lan -|Quỹ quốc tế về bảo tồn thiên nhiên|2000|NXB Bản đồ|Tk|Đổi tài liệu|Không có|
752|LNGH21802|Ðộng vật rừng|Kỹ thuật nuôi một số động vật rừng thông thường - Ts. Trần Mạnh Đạt ( Chủ biên), NXB Nông nghiệp, 2015|Kỹ thuật nuôi một số động vật rừng thông thường| Ts. Trần Mạnh Đạt ( Chủ biên)|2015|NXB Nông nghiệp|Tk|Đặt mua|Không có|
753|LNGH21802|Ðộng vật rừng|Nhận dạng Động vật hoang dã bị buôn bán, Traffic Southeast Asia, NXB Nông Nghiệp, 2000|Nhận dạng Động vật hoang dã bị buôn bán| Traffic Southeast Asia|2000|NXB Nông Nghiệp|Tk|Đổi tài liệu|Không có|
754|LNGH21802|Ðộng vật rừng|Primates of Northeast india, Arun Srivastava, Megadiversity Press, 1999|Primates of Northeast india, Arun Srivastava||1999|Megadiversity Press,|Tk|Đổi tài liệu|Không có|
755|LNGH21802|Ðộng vật rừng|Sách Đỏ Việt Nam – Phần Động Vật, Bộ KHCN&MT, NXB Khoa học Kỹ thuật, 2000|Sách Đỏ Việt Nam – Phần Động Vật||2000| Bộ KHCN&MT, NXB Khoa học Kỹ thuật,|Tk|Đổi tài liệu|Không có|TTTT-TV-1992
756|LNGH21802|Ðộng vật rừng|Sách hướng dẫn định loại Rùa Thái Lan, Lào, Việt Nam và Campuchia, IUCN, 2001|Sách hướng dẫn định loại Rùa Thái Lan, Lào, Việt Nam và Campuchia|IUCN|2001||Tk|Đổi tài liệu|Không có|
757|LNGH21802|Ðộng vật rừng|Sổ tay Ngoại nghiệp nhận diện Thú khu vực Phong Nha - Kẻ Bàng, PGS. TS Phạm Nhật , Nguyễn Xuân Đặng, NXB Lao động – Xã hội, 2000.|Sổ tay Ngoại nghiệp nhận diện Thú khu vực Phong Nha - Kẻ Bàng|PGS. TS Phạm Nhật , Nguyễn Xuân Đặng|2000| NXB Lao động – Xã hội|Tk|Đổi tài liệu|Không có|
758|LNGH21802|Ðộng vật rừng|Tập tính học là gì?, Đào Văn Tiến, NXB Khoa học Kỹ thuật, 1987|Tập tính học là gì?|Đào Văn Tiến, |1987|NXB Khoa học Kỹ thuật|Tk|Đổi tài liệu|Không có|
759|LNGH21802|Ðộng vật rừng|Thú linh trưởng của Việt Nam, PGS. TS Phạm Nhật , NXB Nông Nghiệp, 2002|Thú linh trưởng của Việt Nam|PGS. TS Phạm Nhật|2002|NXB Nông Nghiệp,|Tk|Đổi tài liệu|Không có|
760|LNGH21802|Ðộng vật rừng|Từ điển Động vật và khoáng sản làm thuốc ở Việt Nam, Võ Văn Chi, NXB Y học, 1998|Từ điển Động vật và khoáng sản làm thuốc ở Việt Nam|Võ Văn Chi|1998|NXB Y học|Tk|Đổi tài liệu|Không có|
761|LNGH22002|Giống cây rừng|Lê Quang Bảo (2003), Bài giảng Giống cây rừng, Trường Đại học Nông Lâm Huế.|Bài giảng Giống cây rừng| Lê Quang Bảo|2003|Trường Đại học Nông Lâm Huế.|Bb|Đang bổ sung|Khoa/ BM|
762|LNGH22002|Giống cây rừng|Bài giảng Giống cây rừng, Trường Đại học Lâm nghiệp, 1992.|Bài giảng Giống cây rừng||1992|Trường Đại học Lâm nghiệp|Bb|Phải nộp|Khoa/ BM|
763|LNGH22002|Cải thiện giống theo hướng lấy gỗ phục vụ chế biến lâm sản|Lê Đình Khả - Dương Mộng Hùng (2003), Giáo trình Giống cây rừng, Trường Đại học Lâm nghiệp.|Giáo trình Giống cây rừng|Lê Đình Khả - Dương Mộng Hùng|2003| Trường Đại học Lâm nghiệp.|Bb|Đổi tài liệu|Không có|TTTT-TV-1992
764|LNGH22002|Cải thiện giống theo hướng lấy gỗ phục vụ chế biến lâm sản|Các văn bản về Giống và quản lí giống cây trồng Lâm nghiệp do Bộ NN&PTNT ban hành (http://www.law.omard.gov.vn).|Các văn bản về Giống và quản lí giống cây trồng Lâm nghiệp do Bộ NN&PTNT ban hành (http://www.law.omard.gov.vn).||||Tk|Đã có|TTTT-TV|
765|LNGH22002|Giống cây rừng|Chương trình Cải thiện giống và quản lí giống cây rừng ở Việt Nam, Cẩm nang ngành Lâm nghiệp, Bộ Nông nghiệp và Phát triển nông thôn, 2004.|Chương trình Cải thiện giống và quản lí giống cây rừng ở Việt Nam.Cẩm nang ngành Lâm nghiệp,|Bộ Nông nghiệp và Phát triển nông thôn,|2004||Tk|Đã có|TTTT-TV|TTTT-TV - 2006
766|LNGH22002|Cải thiện giống theo hướng lấy gỗ phục vụ chế biến lâm sản|Pháp lệnh Giống cây trồng, Ủy ban thường vụ Quốc Hội. Số 15/2004/PL-UBTVQH11 ngày 24 tháng 03 năm 2004.|Pháp lệnh Giống cây trồng| Ủy ban thường vụ Quốc Hội. Số 15/2004/PL-UBTVQH11 ngày 24 tháng 03 năm 2004.|2004||Tk|Đã có|TTTT-TV|
767|LNGH22302|Khai thác lâm sản|Lê Trọng Thực, Khai thác lâm sản, Trường Đại học Nông Lâm Huế, 1995|Khai thác lâm sản,|Lê Trọng Thực|1995| Trường Đại học Nông Lâm Huế|Bb|Đang bổ sung|Khoa/ BM|
768|LNGH22302|Khai thác lâm sản|Chu Đình Quang, Cao Chí Công, Dương Văn Tài, Bùi Hữu Ái, Cẩm nang ngành lâm nghiệp, Chương Khai thác và vận chuyển lâm sản, Bộ NN&PTNT, năm 2006.|Cẩm nang ngành lâm nghiệp, Chương Khai thác và vận chuyển lâm sản,|Chu Đình Quang, Cao Chí Công, Dương Văn Tài, Bùi Hữu Ái|2006|Bộ NN&PTNT|Tk|Đã có|TTTT-TV|
769|LNGH22302|Khai thác lâm sản|Trịnh Hữu Lập, Nguyễn Kim và các tác giả. Khai thác và vận chuyển lâm sản, Trường Đại học Lâm Nghiệp, 1992.|Khai thác và vận chuyển lâm sản|Trịnh Hữu Lập, Nguyễn Kim và các tác giả|1992|Trường Đại học Lâm Nghiệp|Tk|Đã có|TTTT-TV|
770|LNGH22302|Khai thác lâm sản|Trịnh Hữu Trọng, Nguyễn Kim, Khai thác và vận chuyển lâm sản, NXB nông nghiệp, Hà Nội, 2001.|Khai thác và vận chuyển lâm sản,|Trịnh Hữu Trọng, Nguyễn Kim, |2001| NXB nông nghiệp, Hà Nội|Tk|Đã có|TTTT-TV|
771|LNGH22502|Khoa học gỗ|Nguyễn Văn Minh (2016) Bài giảng Khoa học gỗ, Đại học Nông Lâm Huế.|Bài giảng Khoa học gỗ| Nguyễn Văn Minh |2016|Đại học Nông Lâm Huế.|Bb|Đang bổ sung|Khoa/ BM|
772|LNGH22502|Khoa học gỗ|Lê Xuân Tình (1998) Khoa học gỗ, NXB nông nghiệp.|Khoa học gỗ|Lê Xuân Tình|1998|NXB nông nghiệp|Bb|Đã có|TTTT-TV|
773|LNGH22502|Khoa học gỗ|Garrett L., McGough H.N., Groves M. And Clarke G. (2010) CITES & Timber. Ramin. Royal Botanic Gardens Kew, UK.|CITES & Timber. Ramin|Garrett L., McGough H.N., Groves M. And Clarke G. |2010|Royal Botanic Gardens Kew, UK.|Tk|Đặt mua|Không có|
774|LNGH22502|Khoa học gỗ|Shmulsky R. And P. David Jones P.D. (2011) Forest Products and Wood Science, sixth ed. John Wiley & Sons, Inc., Chichester, UK|Forest Products and Wood Science, sixth ed.| Shmulsky R. And P. David Jones P.D.|2011|John Wiley & Sons, Inc., Chichester, UK|Tk|Đặt mua|Không có|
775|LNGH22502|Khoa học gỗ|Conners T. (2011) The basis of wood identification. Kentucky Woodlands Magazine, 6: 4-6.|The basis of wood identification.|Conners T. |2011|Kentucky Woodlands Magazine, 6: 4-6.|Tk|Đặt mua|Không có|
776|LNGH22502|Khoa học gỗ|USDA Forest Service (2010) Wood Handbook: Wood as an Engineering Material. Centennial Edition Madison, WI: Forest Products Laboratory.|Wood Handbook: Wood as an Engineering Material. Centennial Edition Madison|USDA Forest Service |2010|WI: Forest Products Laboratory.|Tk|Đặt mua|Không có|
777|LNGH22902|Khuyến lâm|Chương trình hỗ trợ lâm nghiệp xã hội, Bài giảng khuyến nông khuyến lâm, Hà Nội, 2002.|Bài giảng khuyến nông khuyến lâm|Chương trình hỗ trợ lâm nghiệp xã hội,|2002|Hà Nội|Bb|Phải nộp|Khoa/ BM|
778|LNGH22902|Khuyến lâm|Đinh Đức Thuận (chủ biên), Phạm Đức Tuấn, Nguyễn Bá Ngãi, Khuyến lâm (giáo trình Đại học Lâm nghiệp), Nhà xuất bản Nông nghiệp, Hà Nội, 2006.|Khuyến lâm (giáo trình Đại học Lâm nghiệp),|Đinh Đức Thuận (chủ biên), Phạm Đức Tuấn, Nguyễn Bá Ngãi,|2006|Nxb Nông nghiệp|Tk|Đổi tài liệu|Không có|
779|LNGH23002|Kỹ thuật lâm sinh|Phạm Xuân Hoàn và Hoàng Kim Ngũ. Lâm học. Nhà xuất bản nông nghiệp, Hà Nội, 2003.|Lâm học| Phạm Xuân Hoàn và Hoàng Kim Ngũ|2003|NXB Nông Nghiệp Hà Nội|Bb|Đã có|TTTT-TV|
780|LNGH23002|Kỹ thuật lâm sinh|Ngô Quang Ðê, Triệu Vãn Hùng, Phùng Ngọc Lan, Nguyễn Hữu Lộc, Lâm Xuân Sanh, Nguyễn Hữu Vĩnh. Lâm sinh học (tập I: Nguyên lý lâm sinh học). Ðại học Lâm nghiệp, Xuân Mai, Hà Tây, 1992.|Lâm sinh học (tập I: Nguyên lý lâm sinh học)| Ngô Quang Ðê, Triệu Vãn Hùng, Phùng Ngọc Lan, Nguyễn Hữu Lộc, Lâm Xuân Sanh, Nguyễn Hữu Vĩnh|1992| Ðại học Lâm nghiệp, Xuân Mai, Hà Tây,|Bb|Đã có|TTTT-TV|
781|LNGH23002|Kỹ thuật lâm sinh|Nguyễn Vãn Thêm. Lâm sinh học. Nhà xuất bản Nông nghiệp, TP Hồ Chí Minh, 2004.|Lâm sinh học.|Nguyễn Vãn Thêm|2004|Nxb Nông nghiệp, TP Hồ Chí Minh.|Bb|Đã có|TTTT-TV|
782|LNGH23002|Kỹ thuật lâm sinh|Nguyễn Vãn Thêm. Lâm sinh học. Nhà xuất bản Nông nghiệp, TP Hồ Chí Minh, 2004.|Lâm sinh học| Nguyễn Vãn Thêm|2004|NXB Nông Nghiệp tp. Hồ Chí Minh|Tk|Đã có|TTTT-TV|
783|LNGH23002|Kỹ thuật lâm sinh|Ngô Quang Ðê, Triệu Vãn Hùng, Phùng Ngọc Lan, Nguyễn Hữu Lộc, Lâm Xuân Sanh, Nguyễn Hữu Vĩnh. Lâm sinh học (tập I: Nguyên lý lâm sinh học). Ðại học Lâm nghiệp, Xuân Mai, Hà Tây, 1992.|Lâm sinh học (tập I: Nguyên lý lâm sinh học)|Ngô Quang Ðê, Triệu Vãn Hùng, Phùng Ngọc Lan, Nguyễn Hữu Lộc, Lâm Xuân Sanh, Nguyễn Hữu Vĩnh|1992| Ðại học Lâm nghiệp, Xuân Mai, Hà Tây|Tk|Đã có|TTTT-TV|
784|LNGH23002|Kỹ thuật lâm sinh|Bộ lâm nghiệp. Quy phạm các giải pháp kỹ thuật lâm sinh áp dụng cho rừng sản xuất gỗ và tre nứa (QPN 14-92). Nhà xuất bản Nông nghiệp, Hà Nội, 1993.|Quy phạm các giải pháp kỹ thuật lâm sinh áp dụng cho rừng sản xuất gỗ và tre nứa (QPN 14-92).|Bộ lâm nghiệp|1993|Nxb Nông nghiệp, Hà Nội|Tk|Đã có|TTTT-TV|
785|LNGH23002|Kỹ thuật lâm sinh|Richards P.W. (Vương Tấn Nhị dịch). Rừng mưa nhiệt đới. Nhà xuất bản Khoa học và Kỹ thuật, Hà Nội, 1970.|Rừng mưa nhiệt đới|Richards P.W. (Vương Tấn Nhị dịch).|1970|NXB Khoa học Kỹ thuật, Hà Nội|Tk|Đã có|TTTT-TV|
786|LNGH23002|Kỹ thuật lâm sinh|Vụ khoa học công nghệ và chất lýợng sản phẩm. Vãn bản tiêu chuẩn kỹ thuật lâm sinh (Tập II: Quản lý lâm sinh và xây dựng rừng). Nhà xuất bản Nông nghiệp, Hà Nội, 2001.|Vãn bản tiêu chuẩn kỹ thuật lâm sinh (Tập II: Quản lý lâm sinh và xây dựng rừng)|Vụ khoa học công nghệ và chất lýợng sản phẩm|2001|Nxb Nông nghiệp|Tk|Đổi tài liệu|Không có|
787|LNGH23202|Lâm nghiệp đô thị |Ngô Thị Phương Anh, 2016. Bài giảng Lâm nghiệp đô thị|Bài giảng Lâm nghiệp đô thị|Ngô Thị Phương Anh|2016||Bb|Đang bổ sung|Khoa/ BM|
788|LNGH23202|Lâm nghiệp đô thị |Viện Quy hoạch xây dựng đô thị nông thôn: “Cây trồng đô thị” tập 1 và 2. Nhà xuất bản Xây dựng.|Cây trồng đô thị” tập 1 và 2.|Viện Quy hoạch xây dựng đô thị nông thôn:||Nhà xuất bản Xây dựng. |Tk|Đặt mua|Không có|
789|LNGH23202|Lâm nghiệp đô thị |Lê Phương Thảo. “Cây trồng đô thị”. Nhà xuất bản xây dựng, Hà Nội, 1980|Cây trồng đô thị”.|Lê Phương Thảo.|1980|Nhà xuất bản Xây dựng. |Tk|Đã có|TTTT-TV| Cây trồng đô thị : Cây bóng mát / Lê Phương Thảo, Phạm Kim Chi. - Hà Nội : Xây dựng, 1980. - 
790|LNGH23202|Lâm nghiệp đô thị |Chế Đình Lý “Cây xanh – Phát triển và quản lý trong môi trường đô thị”. Nhà Xuất bản Nông nghiệp Hà Nội, 1996.|Cây xanh – Phát triển và quản lý trong môi trường đô thị”|Chế Đình Lý|1996|Nxb Nông nghiệp|Tk|Đổi tài liệu|Không có|
791|LNGH23202|Lâm nghiệp đô thị |Nguyễn Thị Thanh Thuỷ. “Kiến trúc Phong cảnh”. Nhà xuất bản khoa học và kỹ thuật, Hà Nội, 1996|Kiến trúc Phong cảnh| Nguyễn Thị Thanh Thuỷ. |1996|Nhà xuất bản khoa học và kỹ thuật, Hà Nội,|Tk|Đổi tài liệu|Không có|
792|LNGH23302|Lâm nghiệp xã hội|Nguyễn Thị Hồng Mai, 2007. Bài giảng Lâm nghiệp Xã hội. (Nơi lưu trữ: Bộ môn LNXH)|Bài giảng Lâm nghiệp Xã hội.|Nguyễn Thị Hồng Mai|2007||Bb|Đang bổ sung|Khoa/ BM|
